# regression: suite_multiple=8 run_shift_multiple=4 noise_seconds=1.5 floor_seconds=0.05

suite CPU (milliseconds)
| name                                                                         |   milliseconds | CPU   |
|------------------------------------------------------------------------------|----------------|-------|
| test/GenesisETHZap_v1.t.sol:GenesisETHZapV1ForkTest                          |            615 | 0.61s |
| test/GenesisHausdForkIntegration.t.sol:GenesisHausdForkIntegrationTest       |              9 | 0.01s |
| test/GenesisUSDCZap_v1.t.sol:GenesisUSDCZapV1ForkTest                        |            677 | 0.68s |
| test/HarborZapDeployStack.t.sol:HarborZapDeployStackEthForkTest              |            261 | 0.26s |
| test/HarborZapDeployStack.t.sol:HarborZapDeployStackUsdcForkTest             |            261 | 0.26s |
| test/HarborZapDeployStack.t.sol:HarborZapFactoryDeployerTest                 |              2 | 0.00s |
| test/MinterETHZap_v1.t.sol:MinterETHZapV1ForkTest                            |           1480 | 1.48s |
| test/MinterMarketForkIntegration.t.sol:MinterBtcMarketForkIntegrationTest    |             46 | 0.05s |
| test/MinterMarketForkIntegration.t.sol:MinterHausdEthRailForkIntegrationTest |              1 | 0.00s |
| test/MinterUSDCZap_v1.t.sol:MinterUSDCZapV1ForkTest                          |             34 | 0.03s |
| test/Minter_base.t.sol:TestMinterBasics                                      |             18 | 0.02s |
| test/Minter_base.t.sol:TestMinterInit                                        |             10 | 0.01s |
| test/ZapIntake_v1.t.sol:ZapIntakeV1Test                                      |              2 | 0.00s |
