| Contract               |   Runtime Size (B) |   Runtime Margin (B) |   Initcode Size (B) |   Deploy Gas |   Deploy Cost ($) |
|------------------------|--------------------|----------------------|---------------------|--------------|-------------------|
| FxSAVEConstants        |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| FxUSDZapNetworkConfig  |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| GenesisETHZap_v1       |             10,466 |               14,110 |              11,834 |    2,211,540 |            221.15 |
| GenesisUSDCZap_v1      |              9,928 |               14,648 |              11,047 |    2,096,070 |            209.61 |
| MegaETHWstETHConstants |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| MinterETHZap_v1        |             16,351 |                8,225 |              17,936 |    3,449,560 |            344.96 |
| MinterUSDCZap_v1       |             16,188 |                8,388 |              17,559 |    3,413,190 |            341.32 |
| StETHZapNetworkConfig  |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| WstETHConstants        |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| ZapIntake              |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
